"team_name","model_name","model_abbr","date","methods","data_inputs","methods_long","bayesian","na_input","intervention","machine_learning","compartmental","agent_based","ensemble","human_expert","time_series","JHU_data","NYTimes_data","covidtracking.com_data","USAfacts_data","mobility_data","demography","stats"
"AIpert.org team","Piecewise Log Linear of Death","AIpert-pwllnod",2021-01-19 23:42:11,"Piecewise Log Linear of Death using policy change dates","JHU",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AIpert.org team","Piecewise Log Linear of Death","AIpert-pwllnod",2020-12-23 03:59:12,"Piecewise Log Linear of Death using policy change dates","JHU",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AIpert.org team","Piecewise Log Linear of Death","AIpert-pwllnod",2020-12-22 17:55:04,"Piecewise Log Linear of Death using policy change dates","JHU",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AIpert.org team","Piecewise Log Linear of Death","AIpert-pwllnod",2020-12-22 17:32:33,"Piecewise Log Linear of Death using policy change dates","JHU",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Auquan Data Science","MLOptimizedModifiedSEIR","Auquan-SEIR",2020-07-17 14:41:11,"Modified SEIR model with compartments for reported and unreported infections. Non-linear mixed effects curve-fitting.","JHU reported daily deaths, reported daily confirmed cases, population","We start with a standard SEIR model and break down the Infectious compartment(I) into reported infections (Ir) and unreported infections (Iu). People from the Exposed compartment(E) with symptoms go into the reported infections (Ir) compartment. People with mild or no symptoms go into the unreported infections compartment. Both reported infections (Ir) and unreported infections (Iu) contribute to disease spread, but at different rates - a low spread for people quarantined in compartment Ir, and a high spread for, often, asymptomatic people in compartment Iu. This handles the quarantine measures taken by countries to limit the infections. Some people in reported infections (Iu) recover (compartment C) and some die (compartment D) All people in unreported infections (Iu) recover (compartment Cu), there are no mortalities in this compartment. If their symptoms were serious enough they would be reported (and therefore in compartment Ir). We fit our model to reported confirmed cases and reported deaths in a region to estimate beta1 and beta2 for that region. For other parameters, we use estimates from other studies as starting point and learn using hyperparameter optimization that minimizes the error between projected daily deaths and reported daily deaths.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Auquan Data Science","MLOptimizedModifiedSEIR","Auquan-SEIR",2020-07-15 16:25:00,"Modified SEIR model with compartments for reported and unreported infections. Non-linear mixed effects curve-fitting.","JHU reported daily deaths, reported daily confirmed cases, population","We start with a standard SEIR model and break down the Infectious compartment(I) into reported infections (Ir) and unreported infections (Iu). People from the Exposed compartment(E) with symptoms go into the reported infections (Ir) compartment. People with mild or no symptoms go into the unreported infections compartment. Both reported infections (Ir) and unreported infections (Iu) contribute to disease spread, but at different rates - a low spread for people quarantined in compartment Ir, and a high spread for, often, asymptomatic people in compartment Iu. This handles the quarantine measures taken by countries to limit the infections. Some people in reported infections (Iu) recover (compartment C) and some die (compartment D) All people in unreported infections (Iu) recover (compartment Cu), there are no mortalities in this compartment. If their symptoms were serious enough they would be reported (and therefore in compartment Ir). We fit our model to reported confirmed cases and reported deaths in a region to estimate beta1 and beta2 for that region. For other parameters, we use estimates from other studies as starting point and learn using hyperparameter optimization that minimizes the error between projected daily deaths and reported daily deaths.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Auquan Data Science","MLOptimizedModifiedSEIR","SEIR",2020-06-19 14:10:19,"Modified SEIR model with compartments for reported and unreported infections. Non-linear mixed effects curve-fitting.","JHU reported daily deaths, reported daily confirmed cases, population","We start with a standard SEIR model and break down the Infectious compartment(I) into reported infections (Ir) and unreported infections (Iu). People from the Exposed compartment(E) with symptoms go into the reported infections (Ir) compartment. People with mild or no symptoms go into the unreported infections compartment. Both reported infections (Ir) and unreported infections (Iu) contribute to disease spread, but at different rates - a low spread for people quarantined in compartment Ir, and a high spread for, often, asymptomatic people in compartment Iu. This handles the quarantine measures taken by countries to limit the infections. Some people in reported infections (Iu) recover (compartment C) and some die (compartment D) All people in unreported infections (Iu) recover (compartment Cu), there are no mortalities in this compartment. If their symptoms were serious enough they would be reported (and therefore in compartment Ir). We fit our model to reported confirmed cases and reported deaths in a region to estimate beta1 and beta2 for that region. For other parameters, we use estimates from other studies as starting point and learn using hyperparameter optimization that minimizes the error between projected daily deaths and reported daily deaths.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Auquan Data Science","MLOptimizedModifiedSEIR","SEIR",2020-06-18 22:14:16,"Modified SEIR model with compartments for reported and unreported infections. Non-linear mixed effects curve-fitting.","JHU reported daily deaths, reported daily confirmed cases, population","We start with a standard SEIR model and break down the Infectious compartment(I) into reported infections (Ir) and unreported infections (Iu). People from the Exposed compartment(E) with symptoms go into the reported infections (Ir) compartment. People with mild or no symptoms go into the unreported infections compartment. Both reported infections (Ir) and unreported infections (Iu) contribute to disease spread, but at different rates - a low spread for people quarantined in compartment Ir, and a high spread for, often, asymptomatic people in compartment Iu. This handles the quarantine measures taken by countries to limit the infections. Some people in reported infections (Iu) recover (compartment C) and some die (compartment D) All people in unreported infections (Iu) recover (compartment Cu), there are no mortalities in this compartment. If their symptoms were serious enough they would be reported (and therefore in compartment Ir). We fit our model to reported confirmed cases and reported deaths in a region to estimate beta1 and beta2 for that region. For other parameters, we use estimates from other studies as starting point and learn using hyperparameter optimization that minimizes the error between projected daily deaths and reported daily deaths.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Auquan Data Science","MLOptimizedModifiedSEIR","SEIR",2020-06-18 22:09:20,"Modified SEIR model with compartments for reported and unreported infections. Non-linear mixed effects curve-fitting.","JHU reported daily deaths, reported daily confirmed cases, population","We start with a standard SEIR model and break down the Infectious compartment(I) into reported infections (Ir) and unreported infections (Iu). People from the Exposed compartment(E) with symptoms go into the reported infections (Ir) compartment. People with mild or no symptoms go into the unreported infections compartment. Both reported infections (Ir) and unreported infections (Iu) contribute to disease spread, but at different rates - a low spread for people quarantined in compartment Ir, and a high spread for, often, asymptomatic people in compartment Iu. This handles the quarantine measures taken by countries to limit the infections. Some people in reported infections (Iu) recover (compartment C) and some die (compartment D) All people in unreported infections (Iu) recover (compartment Cu), there are no mortalities in this compartment. If their symptoms were serious enough they would be reported (and therefore in compartment Ir). We fit our model to reported confirmed cases and reported deaths in a region to estimate beta1 and beta2 for that region. For other parameters, we use estimates from other studies as starting point and learn using hyperparameter optimization that minimizes the error between projected daily deaths and reported daily deaths.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Auquan Data Science","MLOptimizedModifiedSEIR","SEIR",2020-05-20 11:56:52,"Modified SEIR model with compartments for reported and unreported infections. Non-linear mixed effects curve-fitting.",NA,"We start with a standard SEIR model and break down the Infectious compartment(I) into reported infections (Ir) and unreported infections (Iu). People from the Exposed compartment(E) with symptoms go into the reported infections (Ir) compartment. People with mild or no symptoms go into the unreported infections compartment. Both reported infections (Ir) and unreported infections (Iu) contribute to disease spread, but at different rates - a low spread for people quarantined in compartment Ir, and a high spread for, often, asymptomatic people in compartment Iu. This handles the quarantine measures taken by countries to limit the infections. Some people in reported infections (Iu) recover (compartment C) and some die (compartment D) All people in unreported infections (Iu) recover (compartment Cu), there are no mortalities in this compartment. If their symptoms were serious enough they would be reported (and therefore in compartment Ir). We fit our model to reported confirmed cases and reported deaths in a region to estimate beta1 and beta2 for that region. For other parameters, we use estimates from other studies as starting point and learn using hyperparameter optimization that minimizes the error between projected daily deaths and reported daily deaths.",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
